No,AZ,RU,EN
36,Toyuq (Aseel/Asil - Döyüş),Азиль,Aseel/Asil (Game Fowl)
37,Toyuq (Shamo - Döyüş),Шамо,Shamo (Japanese Game)
38,Toyuq (Malay - Döyüş),Малайская бойцовая,Malay Game Fowl
39,Toyuq (Cream Legbar),Кремовый легбар,Cream Legbar
40,Toyuq (Easter Egger),Пасхальная курица,Easter Egger
41,Toyuq (Uxuylul - Qara Sümüklü),Ухейилюй,Uheilyuj (Chinese Black-boned)
42,Toyuq (Dominique),Доминик,Dominique Chicken
43,Toyuq (Buckeye),Бакай,Buckeye Chicken
44,Toyuq (Campine),Кампин,Campine Chicken
45,Toyuq (Lakenvelder),Лакенвельдер,Lakenvelder Chicken
46,Toyuq (ISA Brown - Hibrid),ИЗА Браун,ISA Brown (Hybrid)
47,Toyuq (Olive Egger - Hibrid),Олив Эггер,Olive Egger (Hybrid)
48,Toyuq (Cubalaya),Кубалая,Cubalaya Chicken
49,Toyuq (Paduan - Padova),Падуан,Paduan Chicken
50,Toyuq (Kraienkopp),Крайенкопп,Kraienkopp Chicken
51,Ördək (Pekin),Пекинская утка,Pekin Duck
52,Ördək (Muscovy - Misk),Мускусная утка,Muscovy Duck
53,Ördək (Rouen),Руанская утка,Rouen Duck
54,Ördək (Khaki Campbell),Хаки Кэмпбелл,Khaki Campbell Duck
55,Ördək (Indian Runner),Индийский бегунок,Indian Runner Duck
56,Ördək (Cayuga),Каюга,Cayuga Duck
57,Ördək (Swedish Blue),Шведская голубая,Swedish Blue Duck
58,Ördək (Welsh Harlequin),Уэльский Арлекин,Welsh Harlequin Duck
59,Ördək (Appleyard),Эпплъярд,Silver Appleyard Duck
60,Ördək (Saxony),Саксонская утка,Saxony Duck
61,Ördək (Call - Cırtdan),Утка Колл,Call Duck
62,Ördək (Buff Orpington),Палевая Орпингтон,Buff Orpington Duck
63,Ördək (Magpie),Сорочья утка,Magpie Duck
64,Ördək (Ancona),Анкона,Ancona Duck
65,Ördək (Crested),Хохлатая утка,Crested Duck
66,Qaz (Toulouse),Тулузская,Toulouse Goose
67,Qaz (Embden),Эмденская,Embden Goose
68,Qaz (Chinese - Çin),Китайский гусь,Chinese Goose
69,Qaz (African),Африканский гусь,African Goose
70,Qaz (Pilgrim),Пилигрим,Pilgrim Goose
71,Qaz (Sebastopol - Qıvrım Tüklü),Севастопольская курчавая,Sebastopol Goose
72,Qaz (Roman),Римская,Roman Goose
73,Qaz (American Buff),Американская палевая,American Buff Goose
74,Qaz (Cotton Patch),Коттон Пэтч,Cotton Patch Goose
75,Qaz (Pomeranian),Померанская,Pomeranian Goose
76,Hind Quşu (Broad Breasted White),Широкогрудая белая индейка,Broad Breasted White Turkey
77,Hind Quşu (Broad Breasted Bronze),Широкогрудая бронзовая,Broad Breasted Bronze Turkey
78,Hind Quşu (Bourbon Red),Бурбонская красная,Bourbon Red Turkey
79,Hind Quşu (Narragansett),Наррагансеттская,Narragansett Turkey
80,Hind Quşu (Royal Palm),Королевская пальма,Royal Palm Turkey
81,Hind Quşu (Black Spanish),Чёрная испанская,Black Spanish Turkey
82,Hind Quşu (Midget White),Миджет белая,Midget White Turkey
83,Hind Quşu (Slate),Серая/голубая индейка,Slate Turkey
84,Meleyağan (Guinea Fowl),Цесарка,Guinea Fowl (Helmeted)
85,Meleyağan (Lavender),Лавандовая цесарка,Lavender Guinea Fowl
86,At (Ərəb),Арабская чистокровная,Arabian Horse
87,At (İngilis Yarış),Английская чистокровная,Thoroughbred
88,At (Qarabağ),Карабахская,Karabakh Horse
89,At (Dilbaz),Дильбазская,Dilbaz Horse
90,At (Əxəltəkə - Türkmən),Ахалтекинская,Akhal-Teke
91,At (Friesian),Фризская,Friesian Horse
92,At (Quarter Horse),Квотерхорс,Quarter Horse
93,At (Appaloosa),Аппалуза,Appaloosa
94,At (Mustang),Мустанг,Mustang
95,At (Andalusian),Андалузская,Andalusian Horse
96,At (Lusitano),Лузитанская,Lusitano
97,At (Lipizzaner),Липпицианская,Lipizzaner
98,At (Clydesdale),Клейдесдальская,Clydesdale
99,At (Percheron),Першерон,Percheron
100,At (Shire),Шайрская,Shire Horse
101,At (Morgan),Морган,Morgan Horse
102,At (Tennessee Walking),Теннессийская,Tennessee Walking Horse
103,At (Paint Horse),Пейнтхорс,American Paint Horse
104,At (Hannover),Ганноверская,Hanoverian
105,At (Holsteiner),Голштинская,Holsteiner
106,At (Trakehner),Тракененская,Trakehner
107,At (Shetland Pony),Шетлендский пони,Shetland Pony
108,At (Welsh Pony),Уэльский пони,Welsh Pony
109,At (Miniature Horse),Миниатюрная лошадь,Miniature Horse
110,At (Haflinger),Хафлингер,Haflinger
111,At (Fjord),Норвежский фьорд,Norwegian Fjord
112,At (Icelandic),Исландская лошадь,Icelandic Horse
113,At (Marwari),Марвари,Marwari Horse
114,At (Knabstrupper),Кнабструппер,Knabstrupper
115,At (Gypsy Vanner),Тинкер,Gypsy Vanner
116,At (Don),Донская,Don Horse
117,At (Budyonny),Будённовская,Budyonny Horse
118,At (Orlov Trotter),Орловский рысак,Orlov Trotter
119,At (Kabarda),Кабардинская,Kabarda Horse
120,At (Standardbred),Стандардбред,Standardbred
121,At (Paso Fino),Пасо Фино,Paso Fino
122,At (Belgian Draft),Бельгийская тяжеловозная,Belgian Draft Horse
123,At (Suffolk Punch),Суффолк панч,Suffolk Punch
124,Eşşək (Adi),Осёл домашний,Donkey (Standard)
125,Eşşək (Miniature),Миниатюрный осёл,Miniature Donkey
126,Eşşək (Mammoth),Мамонтовый осёл,Mammoth Donkey
127,Qatır,Мул,Mule
128,İnək (Holstein),Голштинская,Holstein Cattle
129,İnək (Jersey),Джерсейская,Jersey Cattle
130,İnək (Angus),Абердин-ангусская,Angus Cattle
131,İnək (Hereford),Герефордская,Hereford Cattle
132,İnək (Simmental),Симментальская,Simmental Cattle
133,İnək (Charolais),Шаролезская,Charolais Cattle
134,İnək (Limousin),Лимузинская,Limousin Cattle
135,İnək (Brahman),Брахман,Brahman Cattle
136,İnək (Highland),Хайленд,Highland Cattle (Scottish)
137,İnək (Dexter - Cırtdan),Декстер,Dexter Cattle (Miniature)
138,İnək (Watusi - Böyük Buynuz),Ватусси,Watusi (Ankole) Cattle
139,İnək (Brown Swiss),Бурая швицкая,Brown Swiss Cattle
140,İnək (Guernsey),Гернзейская,Guernsey Cattle
141,İnək (Ayrshire),Эйрширская,Ayrshire Cattle
142,İnək (Belted Galloway),Галловейская поясная,Belted Galloway
143,İnək (Texas Longhorn),Техасский лонгхорн,Texas Longhorn
144,İnək (Zebu),Зебу,Zebu Cattle
145,İnək (Wagyu),Вагю,Wagyu Cattle
146,İnək (Piedmontese),Пьемонтская,Piedmontese Cattle
147,İnək (Shorthorn),Шортгорнская,Shorthorn Cattle
148,Camış (Su Camışı),Водяной буйвол,Water Buffalo
149,Yak,Як,Yak
150,Qoyun (Merino),Меринос,Merino Sheep
151,Qoyun (Suffolk),Суффолк,Suffolk Sheep
152,Qoyun (Dorper),Дорпер,Dorper Sheep
153,Qoyun (Hampshire),Гемпширская,Hampshire Sheep
154,Qoyun (Texel),Тексель,Texel Sheep
155,Qoyun (Romney),Ромни,Romney Sheep
156,Qoyun (Jacob - Çoxbuynuz),Джейкоб,Jacob Sheep
157,Qoyun (Karakul),Каракульская,Karakul Sheep
158,Qoyun (Dorset),Дорсет,Dorset Sheep
159,Qoyun (Corriedale),Коридейл,Corriedale Sheep
160,Qoyun (Katahdin),Катадин,Katahdin Sheep
161,Qoyun (Valais Blacknose),Валезская черноносая,Valais Blacknose Sheep
162,Qoyun (Scottish Blackface),Шотландская черномордая,Scottish Blackface Sheep
163,Qoyun (Icelandic),Исландская,Icelandic Sheep
164,Qoyun (Babydoll Southdown),Бэбидолл Саутдаун,Babydoll Southdown Sheep
165,Qoyun (Bozax),Бозах,Bozakh Sheep
166,Qoyun (Balıbəy),Балыбей,Balibay Sheep
167,Qoyun (Awassi),Авасси,Awassi Sheep
168,Qoyun (Lacaune),Лакон,Lacaune Sheep
169,Keçi (Boer),Бурская,Boer Goat
170,Keçi (Nubian),Нубийская,Nubian Goat
171,Keçi (Saanen),Заaненская,Saanen Goat
172,Keçi (Alpine),Альпийская,Alpine Goat
173,Keçi (LaMancha),Ламанча,LaMancha Goat
174,Keçi (Toggenburg),Тоггенбургская,Toggenburg Goat
175,Keçi (Angora - Mohair),Ангорская,Angora Goat
176,Keçi (Kəşmir - Cashmere),Кашмирская,Cashmere Goat
177,Keçi (Pygmy - Cırtdan),Камерунская,Pygmy Goat
178,Keçi (Nigerian Dwarf),Нигерийская карликовая,Nigerian Dwarf Goat
179,Keçi (Kiko),Кико,Kiko Goat
180,Keçi (Oberhasli),Оберхасли,Oberhasli Goat
181,Keçi (Myotonic - Bayılan),Миотоническая (обморочная),Myotonic (Fainting) Goat
182,Keçi (Savanna),Саванна,Savanna Goat
183,Keçi (Golden Guernsey),Золотая гернзейская,Golden Guernsey Goat
184,Donuz (Large White),Крупная белая,Large White Pig
185,Donuz (Landrace),Ландрас,Landrace Pig
186,Donuz (Duroc),Дюрок,Duroc Pig
187,Donuz (Hampshire),Гемпширская,Hampshire Pig
188,Donuz (Berkshire),Беркширская,Berkshire Pig
189,Donuz (Pietrain),Пьетрен,Pietrain Pig
190,Donuz (Tamworth),Тэмворс,Tamworth Pig
191,Donuz (Mangalitsa - Tüklü),Мангалица,Mangalitsa (Woolly Pig)
192,Donuz (Kunekune),Кунекуне,Kunekune Pig
193,Donuz (Pot-bellied - Vietnam),Вьетнамская вислобрюхая,Vietnamese Pot-bellied Pig
194,Donuz (Gloucestershire Old Spots),Глостерширская пятнистая,Gloucestershire Old Spots Pig
195,Donuz (Red Wattle),Красный каркас,Red Wattle Pig
196,Donuz (Meishan),Мэйшань,Meishan Pig
197,Dovşan (New Zealand White),Новозеландский белый,New Zealand White Rabbit (meat)
198,Dovşan (Californian),Калифорнийский,Californian Rabbit (meat)
199,Dovşan (Flemish Giant),Фландр (бельгийский великан),Flemish Giant Rabbit
200,Lama,Лама,Llama
201,Alpaka,Альпака,Alpaca
202,Dəvə (İkihörgüclü - Bactrian),Двугорбый верблюд,Bactrian Camel
203,Dəvə (Birhörgüclü - Dromedary),Одногорбый верблюд,Dromedary Camel
204,Maral (Xallı),Пятнистый олень,Sika Deer (farmed)
205,Maral (Red Deer),Благородный олень,Red Deer (farmed)
206,Sivişən (Mink - Ferma),Норка,Mink (farmed)
207,Dəvəquşu (Ferma),Страус (фермерский),Ostrich (farmed)
208,Emu (Ferma),Эму (фермерский),Emu (farmed)
209,Bildirçin (Ferma - Yapon),Японский перепел (фермерский),Japanese Quail (farmed)
