No,AZ,RU,EN
58,Neon Tetra,Неон,Neon Tetra
59,Kardinal Tetra,Красный неон,Cardinal Tetra
60,Qara Neon Tetra,Чёрный неон,Black Neon Tetra
61,Rummy Nose Tetra,Родостомус,Rummy Nose Tetra
62,Serpae Tetra,Серпас,Serpae Tetra
63,Ember Tetra,Тетра-светлячок,Ember Tetra
64,Limon Tetra,Лимонная тетра,Lemon Tetra
65,Buenos Aires Tetra,Тетра Буэнос-Айрес,Buenos Aires Tetra
66,Kongo Tetra,Конго,Congo Tetra
67,Almaz Tetra,Бриллиантовая тетра,Diamond Tetra
68,Alev Tetra,Тетра фон Рио,Flame Tetra
69,Qara Etek Tetra (Dul Qadın),Тернеция,Black Skirt Tetra
70,Glofish Tetra,Тернеция ГлоФиш,GloFish Tetra
71,Piranya (Qırmızı Qarınlı),Краснобрюхая пиранья,Red-bellied Piranha
72,Pacu,Паку,Pacu
73,Diskus (Mavi),Дискус голубой,Blue Discus
74,Diskus (Qırmızı),Дискус красный,Red Discus
75,Diskus (Yaşıl),Дискус зелёный,Green Discus
76,Diskus (Pigeon Blood),Дискус голубиная кровь,Pigeon Blood Discus
77,Diskus (Snakeskin),Дискус змеиная кожа,Snakeskin Discus
78,Mələk Balığı (Adi),Скалярия,Angelfish (Common)
79,Mələk Balığı (Koi),Скалярия Кои,Koi Angelfish
80,Mələk Balığı (Qara),Чёрная скалярия,Black Angelfish
81,Mələk Balığı (Altum),Скалярия Альтум,Altum Angelfish
82,Mələk Balığı (Leopold),Скалярия Леопольди,Leopold's Angelfish
83,Oskar (Tiger),Астронотус тигровый,Oscar (Tiger)
84,Oskar (Albino),Астронотус альбинос,Oscar (Albino)
85,Oskar (Qırmızı),Астронотус красный,Oscar (Red)
86,Flowerhorn,Флауэрхорн,Flowerhorn Cichlid
87,Afrika Sixlidi (Mbuna - Mavi Zebra),Мбуна голубая зебра,Mbuna (Blue Zebra)
88,Afrika Sixlidi (Mbuna - Sarı Lab),Мбуна жёлтый лабидохромис,Yellow Lab (Labidochromis caeruleus)
89,Afrika Sixlidi (Mbuna - Kenyı),Мбуна кеньи,Kenyi Cichlid
90,Afrika Sixlidi (Mbuna - Demasoni),Мбуна Демасони,Demasoni Cichlid
91,Afrika Sixlidi (Aulonocara - Pavlin),Аулонокара,Peacock Cichlid (Aulonocara)
92,Afrika Sixlidi (Frontosa),Фронтоза,Frontosa Cichlid
93,Afrika Sixlidi (Tropheus),Трофеус,Tropheus Cichlid
94,Afrika Sixlidi (Haplochromis),Хаплохромис,Haplochromis Cichlid
95,Afrika Sixlidi (Protomelas),Протомелас,Protomelas Cichlid
96,Afrika Sixlidi (Copadichromis),Копадихромис,Copadichromis Cichlid
97,Afrika Sixlidi (Neolamprologus),Неолампрологус,Neolamprologus (Tanganyika)
98,Afrika Sixlidi (Julidochromis),Юлидохромис,Julidochromis (Tanganyika)
99,Afrika Sixlidi (Altolamprologus Calvus),Альтолампрологус Кальвус,Altolamprologus Calvus
100,Afrika Sixlidi (Altolamprologus Compressiceps),Альтолампрологус Компрессицепс,Altolamprologus Compressiceps
101,Afrika Sixlidi (Cyprichromis),Циприхромис,Cyprichromis (Tanganyika)
102,Afrika Sixlidi (Viktoriya Göl),Хаплохромис викторианский,Lake Victoria Cichlid
103,Amerika Sixlidi (Cek Dempsi),Цихлазома Джека Демпси,Jack Dempsey Cichlid
104,Amerika Sixlidi (Firemouth),Цихлазома Меека,Firemouth Cichlid
105,Amerika Sixlidi (Convict),Цихлазома чернополосая,Convict Cichlid
106,Amerika Sixlidi (Yaşıl Dəhşət),Цихлазома Грин террор,Green Terror
107,Amerika Sixlidi (Severum),Северум,Severum Cichlid
108,Amerika Sixlidi (Texas),Цихлазома Техас,Texas Cichlid
109,Amerika Sixlidi (Tovuz Bas),Цихла,Peacock Bass (Cichla)
110,Apistogramma (Ramirezi),Апистограмма Рамирези,Ram Cichlid (Mikrogeophagus ramirezi)
111,Apistogramma (Cacatuoides),Апистограмма какаду,Cockatoo Dwarf Cichlid
112,Apistogramma (Agassizi),Апистограмма Агассица,Agassiz's Dwarf Cichlid
113,Kribensis,Пельвикахромис пульхер,Kribensis (Pelvicachromis pulcher)
114,Qurami (Cənubi Mavi),Гурами голубой,Blue Gourami (Three-spot)
115,Qurami (Cırtdan),Гурами карликовый,Dwarf Gourami
116,Qurami (İnci),Гурами жемчужный,Pearl Gourami
117,Qurami (Öpüşən),Гурами целующийся,Kissing Gourami
118,Qurami (Bal),Гурами медовый,Honey Gourami
119,Qurami (Şokolad),Гурами шоколадный,Chocolate Gourami
120,Qurami (Nəhəng),Гурами гигантский,Giant Gourami
121,Qurami (Sparkling),Гурами ворчащий,Sparkling Gourami
122,Qurami (Moonlight),Гурами лунный,Moonlight Gourami
123,Cənnət Balığı,Макропод,Paradise Fish (Macropodus)
124,Arowana (Asiya Qızıl),Арована азиатская золотая,Asian Gold Arowana
125,Arowana (Asiya Qırmızı),Арована азиатская красная,Asian Red Arowana
126,Arowana (Gümüşü),Арована серебряная,Silver Arowana
127,Arowana (Qara),Арована чёрная,Black Arowana
128,Arowana (Avstraliya),Арована австралийская,Australian Arowana (Jardini)
129,Göy Qurşağı Balığı (Boesemani),Радужница Боэсмана,Boesemani Rainbowfish
130,Göy Qurşağı Balığı (Qırmızı),Радужница красная,Red Rainbowfish (Glossolepis incisus)
131,Göy Qurşağı Balığı (Neon Cırtdan),Неоновая радужница,Neon Dwarf Rainbowfish
132,Göy Qurşağı Balığı (Celebes),Радужница Сулавеси,Celebes Rainbowfish
133,Göy Qurşağı Balığı (Threadfin),Ириатерина Вернера,Threadfin Rainbowfish
134,Göy Qurşağı Balığı (Turquoise),Радужница бирюзовая,Turquoise Rainbowfish (Melanotaenia lacustris)
135,Göy Qurşağı Balığı (Madagascar),Радужница мадагаскарская,Madagascar Rainbowfish
136,Corydoras (Bronze),Коридорас бронзовый,Bronze Corydoras
137,Corydoras (Panda),Коридорас панда,Panda Corydoras
138,Corydoras (Julii),Коридорас Юлии,Julii Corydoras
139,Corydoras (Sterbai),Коридорас Штерба,Sterbai Corydoras
140,Corydoras (Pygmy),Коридорас пигмей,Pygmy Corydoras
141,Corydoras (Albino),Коридорас альбинос,Albino Corydoras
142,Plekostomus (Adi),Плекостомус,Common Pleco
143,Plekostomus (Bristlenose),Анциструс,Bristlenose Pleco
144,Plekostomus (Zebra),Гипанциструс зебра L046,Zebra Pleco (L046)
145,Plekostomus (Clown),Клоун плеко,Clown Pleco
146,Plekostomus (Royal),Панак королевский,Royal Pleco
147,Plekostomus (Snowball),Плеко снежок L102,Snowball Pleco (L102)
148,Otocinclus,Отоцинклюс,Otocinclus
149,Siamese Yosun Yeyən,Сиамский водорослеед,Siamese Algae Eater
150,Çin Yosun Yeyən,Китайский водорослеед,Chinese Algae Eater
151,Dağ Çay Balığı (Hillstream Loach),Плекодон,Hillstream Loach
152,Kloun Çəpər Balığı,Боция клоун,Clown Loach
153,Yoyo Çəpər Balığı,Боция Йо-Йо,Yoyo Loach
154,Kuhli Çəpər Balığı,Акантофтальмус,Kuhli Loach
155,Zebra Çəpər Balığı,Боция зебра,Zebra Loach
156,Dojo Çəpər Balığı,Вьюн,Weather Loach (Dojo)
157,Danio (Zebra),Данио рерио,Zebra Danio
158,Danio (Leopard),Данио леопардовый,Leopard Danio
159,Danio (İnci),Данио жемчужный,Pearl Danio
160,Danio (Celestial Pearl),Данио маргаритатус,Celestial Pearl Danio (Galaxy Rasbora)
161,Glofish Danio,Данио ГлоФиш,GloFish Danio
162,Razbora (Harlequin),Расбора клинопятнистая,Harlequin Rasbora
163,Razbora (Chili),Расбора Бригитты,Chili Rasbora
164,Razbora (Brilliant),Расбора бриллиантовая,Brilliant Rasbora
165,Razbora (Scissortail),Расбора ножницехвостая,Scissortail Rasbora
166,Barbus (Tiger),Барбус суматранский,Tiger Barb
167,Barbus (Cherry),Барбус вишнёвый,Cherry Barb
168,Barbus (Rosy),Барбус огненный,Rosy Barb
169,Barbus (Denison),Барбус Денисони,Denison Barb (Roseline Shark)
170,Barbus (Gold),Барбус золотой,Gold Barb
171,Barbus (Odessa),Барбус Одесса,Odessa Barb
172,Barbus (Tinfoil),Барбус лещевидный,Tinfoil Barb
173,Barbus (Five-banded),Барбус пятиполосый,Five-banded Barb
174,Akula Balığı (Bala Shark),Акулий бала,Bala Shark
175,Akula Balığı (Red Tail Shark),Лабео двуцветный,Red Tail Shark
176,Akula Balığı (Rainbow Shark),Лабео зелёный,Rainbow Shark
177,Akula Balığı (Iridescent Shark),Пангасиус,Iridescent Shark (Pangasius)
178,Killifish (Nothobranchius),Нотобранхиус,Nothobranchius Killifish
179,Killifish (Aphyosemion),Афиосемион,Aphyosemion Killifish
180,Killifish (Fundulopanchax),Фундулопанхакс,Fundulopanchax Killifish
181,Killifish (Clown),Псевдоэпиплятис,Clown Killifish
182,Balta Balığı (Marble),Мраморная карнегиелла,Marble Hatchetfish
183,Balta Balığı (Silver),Серебряная карнегиелла,Silver Hatchetfish
184,Balta Balığı (Adi),Обыкновенная карнегиелла,Common Hatchetfish
185,Qələm Balığı (Nannostomus),Нанностомус,Pencilfish (Nannostomus)
186,Afrika Kəpənək Balığı,Африканская рыба-бабочка,African Butterfly Fish
187,Dollar Balığı (Gümüşü),Серебряный доллар,Silver Dollar
188,Dollar Balığı (Qırmızı Nöqtəli),Метиннис красноточечный,Red Hook Silver Dollar
189,Oxatan Balıq,Рыба-брызгун,Archerfish
190,Palçıqsürüyən,Илистый прыгун,Mudskipper
191,Şirin Su Vatoz (Motoro),Скат моторо,Motoro Stingray
192,Şirin Su Vatoz (Leopoldi),Скат Леопольди,Leopoldi Stingray (Polka Dot)
193,Şirin Su Vatoz (Qara Almaz),Скат Чёрный бриллиант,Black Diamond Stingray
194,Gar (Xallı),Пятнистый панцирник,Spotted Gar
195,Gar (Alligator),Миссисипский панцирник,Alligator Gar
196,Gar (Florida),Флоридский панцирник,Florida Gar
197,Gar (Longnose),Длинноносый панцирник,Longnose Gar
198,Od İlan Balığı (Fire Eel),Огненный угорь,Fire Eel (Mastacembelus erythrotaenia)
199,İz İlan Balığı (Tire Track Eel),Тайерия,Tire Track Eel
200,Elektrik İlan Balığı,Электрический угорь,Electric Eel
201,Akvarium İlanbalığı (Bichir),Полиптерус,Bichir (Polypterus)
202,Akvarium İlanbalığı (Ropefish),Каламоихт,Ropefish (Reedfish)
203,İlanbaş Balıq (Channa),Змееголов,Snakehead (Channa)
204,Axolotl,Аксолотль,Axolotl
205,Puffer (Cırtdan),Карликовый тетраодон,Dwarf Puffer (Pea Puffer)
206,Puffer (Figure 8),Тетраодон восьмёрка,Figure 8 Puffer
207,Puffer (Fahaka),Тетраодон Фахака,Fahaka Puffer
208,Puffer (Green Spotted),Тетраодон зелёный,Green Spotted Puffer
209,Qırmızı Quyruqlu Catfish,Краснохвостый сом,Red-tailed Catfish
210,Pisi Balığı (Banjo),Банджо сом,Banjo Catfish
211,Upside-down Catfish,Перевёртыш,Upside-down Catfish
212,Pictus Catfish,Пиктус,Pictus Catfish
213,Rafael Catfish,Рафаэль полосатый,Striped Raphael Catfish
214,Glass Catfish,Стеклянный сом,Glass Catfish
215,Elektrik Catfish,Электрический сом,Electric Catfish
216,Kanal Catfish,Канальный сом,Channel Catfish
217,Dəniz Atı,Морской конёк,Seahorse
218,Dəniz İynəsi,Рыба-игла,Pipefish
219,Palyaç Balığı (Ocellaris),Рыба-клоун оцеллярис,Ocellaris Clownfish
220,Palyaç Balığı (Percula),Рыба-клоун перкула,Percula Clownfish
221,Palyaç Balığı (Maroon),Рыба-клоун бордовый,Maroon Clownfish
222,Palyaç Balığı (Tomato),Рыба-клоун томатный,Tomato Clownfish
223,Mavi Tang (Dory),Голубой хирург,Blue Tang (Regal Tang)
224,Sarı Tang,Жёлтый хирург,Yellow Tang
225,Powder Blue Tang,Хирург белогрудый,Powder Blue Tang
226,Achilles Tang,Хирург Ахиллес,Achilles Tang
227,Naso Tang (Unicornfish),Носорог,Naso Tang (Unicornfish)
228,Mandarinka Balığı,Мандаринка,Mandarin Dragonet
229,Scooter Blenny (Dragonet),Скутер блесни,Scooter Blenny
230,Aslan Balığı (Lionfish),Крылатка,Lionfish
231,Mavi Damsel,Голубой хромис,Blue Chromis Damsel
232,Sarı Damsel,Жёлтый хризиптера,Yellow Damsel
233,Yaşıl Chromis,Зелёный хромис,Green Chromis
234,Firefish Gobi,Огненный бычок,Firefish Goby
235,Mavi Neon Gobi,Неоновый бычок,Neon Goby
236,Watchman Gobi,Бычок-сторож,Watchman Goby
237,Dəniz Mələyi (Emperor),Императорский ангел,Emperor Angelfish (Marine)
238,Dəniz Mələyi (French),Французский ангел,French Angelfish (Marine)
239,Dəniz Mələyi (Flame),Огненный ангел,Flame Angelfish
240,Dəniz Mələyi (Coral Beauty),Коралловый ангел,Coral Beauty Angelfish
241,Dəniz Mələyi (Regal),Королевский ангел,Regal Angelfish
242,Royal Gramma,Королевская грамма,Royal Gramma
243,Dottyback (Orchid),Псевдохромис орхидейный,Orchid Dottyback
244,Dottyback (Neon),Псевдохромис неоновый,Neon Dottyback
245,Anthias (Lyretail),Антиас лировидный,Lyretail Anthias
246,Anthias (Squareback),Антиас квадратный,Squareback Anthias
247,Blenny (Bicolor),Двуцветная собачка,Bicolor Blenny
248,Blenny (Midas),Собачка Мидас,Midas Blenny
249,Blenny (Lawnmower),Собачка-газонокосилка,Lawnmower Blenny
250,Hawkfish (Flame),Огненный ястреб,Flame Hawkfish
251,Hawkfish (Longnose),Длинноносый ястреб,Longnose Hawkfish
252,Jawfish (Sarıbaş),Жёлтоголовый опистогнат,Yellowhead Jawfish
253,Jawfish (Mavi Xallı),Голубопятнистый опистогнат,Blue-spotted Jawfish
254,Kələm Balığı (Wrasse Cleaner),Губан-чистильщик,Cleaner Wrasse
255,Kələm Balığı (Six Line),Шестиполосый губан,Six Line Wrasse
256,Kələm Balığı (Fairy),Губан-фея,Fairy Wrasse
257,Kələm Balığı (Melanurus),Губан Меланурус,Melanurus Wrasse
258,Dəniz Betta (Marine Betta),Морская бетта,Marine Betta (Comet)
259,Bannerfish,Рыба-вымпел,Bannerfish
260,Morish İdol,Мавританский идол,Moorish Idol
261,Sarı Boxfish,Жёлтый кузовок,Yellow Boxfish
262,Kəpənək Balığı (Copperband),Хелмон,Copperband Butterflyfish
263,Kəpənək Balığı (Raccoon),Бабочка-енот,Raccoon Butterflyfish
264,Kəpənək Balığı (Longnose),Длинноносая бабочка,Longnose Butterflyfish
265,Cardinalfish (Banggai),Кардинал Банггай,Banggai Cardinalfish
266,Cardinalfish (Pajama),Кардинал Пижама,Pajama Cardinalfish
267,Triggerfish (Clown),Спинорог клоун,Clown Triggerfish
268,Triggerfish (Niger),Спинорог нигер,Niger Triggerfish
269,Filefish (Aiptasia-eating),Единорог,Aiptasia-eating Filefish
270,Frogfish,Рыба-лягушка,Frogfish
271,Porcupine Pufferfish,Рыба-дикобраз,Porcupine Pufferfish
272,Foxface Rabbitfish,Лисица ло,Foxface Rabbitfish
273,Grouper (Mini Reef),Групер рифовый,Mini Reef Grouper
274,Leopard Shark (Bamboo),Бамбуковая акула,Bamboo Shark (Leopard Cat Shark)
275,Akvarium Xərçəngi (Mavi),Рак голубой,Blue Crayfish
276,Akvarium Xərçəngi (Ağ),Рак белый,White Crayfish
277,Akvarium Xərçəngi (Narıncı - CPO),Рак оранжевый CPO,CPO Crayfish (Orange Dwarf)
278,Akvarium Krevetkası (Cherry),Креветка Черри,Cherry Shrimp
279,Akvarium Krevetkası (Amano),Креветка Амано,Amano Shrimp
280,Akvarium Krevetkası (Crystal Red),Креветка Кристалл Ред,Crystal Red Shrimp
281,Akvarium Krevetkası (Blue Dream),Креветка Голубая мечта,Blue Dream Shrimp
282,Akvarium Krevetkası (Ghost),Креветка-призрак,Ghost Shrimp
283,Akvarium Krevetkası (Bamboo),Бамбуковая креветка,Bamboo Shrimp
284,Akvarium Krevetkası (Sulawesi),Креветка Сулавеси,Sulawesi Shrimp
285,Akvarium Krevetkası (Vampire),Креветка-вампир,Vampire Shrimp
286,Thai Micro Crab,Тайский микрокраб,Thai Micro Crab
287,İlbiz (Nerite),Улитка Неритина,Nerite Snail
288,İlbiz (Mystery),Улитка Ампулярия,Mystery Snail (Apple Snail)
289,İlbiz (Ramshorn),Улитка Катушка,Ramshorn Snail
290,İlbiz (Assassin),Улитка Хелена,Assassin Snail (Helena)
291,İlbiz (Malaysian Trumpet),Улитка Мелания,Malaysian Trumpet Snail
292,İlbiz (Rabbit),Улитка Кролик,Rabbit Snail
293,Şirin Su Midyesi,Пресноводная мидия,Freshwater Mussel/Clam
294,Afrika Cırtdan Qurbağası,Африканская карликовая лягушка,African Dwarf Frog
295,Horseshoe Crab (Dəniz),Мечехвост,Horseshoe Crab
296,Dəniz Ulduzu (Mavi),Голубая морская звезда,Blue Linckia Starfish
297,Dəniz Ulduzu (Qırmızı),Красная морская звезда,Red Fromia Starfish
298,Dəniz Kirpisi,Морской ёж,Sea Urchin (aquarium)
299,Anemone (Bubble Tip),Пузырчатая актиния,Bubble Tip Anemone
300,Mercan (Hammer),Молотковый коралл,Hammer Coral
301,Mercan (Torch),Факельный коралл,Torch Coral
302,Mercan (Frogspawn),Коралл лягушачья икра,Frogspawn Coral
303,Mercan (Mushroom),Грибовидный коралл,Mushroom Coral
304,Mercan (Zoanthid),Зоантусы,Zoanthid Coral
305,Mercan (Xenia),Ксения,Xenia Coral
