No,AZ,RU,EN
63,Gerbil (Shaw),Песчанка Шоу,Shaw's Jird
64,Gerbil (Pallid),Бледная песчанка,Pallid Gerbil
65,Gerbil (Buxton),Песчанка Бакстона,Buxton's Jird
66,Prairi İti (Qara Quyruqlu),Чернохвостая луговая собачка,Black-tailed Prairie Dog
67,Prairi İti (Ağ Quyruqlu),Белохвостая луговая собачка,White-tailed Prairie Dog
68,Dağ Siçanı (Chipmunk - Şərqi),Восточный бурундук,Eastern Chipmunk
69,Dağ Siçanı (Sibir Chipmunk),Сибирский бурундук,Siberian Chipmunk
70,Ağac Dələsi (Dekorativ),Белка обыкновенная,Red Squirrel (pet)
71,Uçan Dələ (Southern Flying),Южная летяга,Southern Flying Squirrel
72,Uçan Dələ (Japanese Momonga),Японская летяга,Japanese Dwarf Flying Squirrel
73,Uçan Dələ (Sibir),Сибирская белка-летяга,Siberian Flying Squirrel
74,Atılqan Siçan (Jerboa - Uzunqulaq),Длинноухий тушканчик,Long-eared Jerboa
75,Atılqan Siçan (Jerboa - Misir),Египетский тушканчик,Egyptian Jerboa (Lesser)
76,Atılqan Siçan (Jerboa - Böyük),Большой тушканчик,Great Jerboa
77,Kənquru Siçanı,Кенгуровая крыса,Kangaroo Rat
78,Xərçəng Siçan (Gambian Pouched),Гамбийская хомяковая крыса,Gambian Pouched Rat
79,Multimammate Siçan (Mastomys),Многососковая мышь,Multimammate Mouse (Mastomys)
80,Kirpi Donuz (Afrika Təpəli),Дикобраз африканский гребенчатый,African Crested Porcupine
81,Kirpi Donuz (Braziliya),Бразильский дикобраз,Brazilian Porcupine (Prehensile-tailed)
82,Kirpi Donuz (Hindistan Təpəli),Индийский дикобраз,Indian Crested Porcupine
83,Kapibara,Капибара,Capybara
84,Kapibara (Mini),Малая капибара,Lesser Capybara
85,Patagonia Mara,Патагонская мара,Patagonian Mara
86,Paka (Lowland),Пака,Lowland Paca
87,Aqouti,Агути,Central American Agouti
88,Nutria (Coypu),Нутрия,Nutria (Coypu)
89,Vişkaça,Вискаша,Viscacha
90,Acorn Siçanı (Dormouse - Yuxuçu),Соня-полчок,Edible Dormouse (Fat Dormouse)
91,Dormouse (Orman Yuxuçusu),Лесная соня,Forest Dormouse
92,Bambuk Siçanı,Бамбуковая крыса,Bamboo Rat
93,Kirpi Siçan (Tenrec),Тенрек малый ежовый,Lesser Hedgehog Tenrec
94,Pakarana,Пакарана,Pacarana
95,Spinifex Hopping Siçan,Гребнехвостая сумчатая мышь,Spinifex Hopping Mouse
