No,AZ,RU,EN
40,Çöp Böcəyi (Dikenli Yarpaq),Шиповатый листовидный палочник,Thorny Stick Insect (Aretaon asperrimus)
41,Çöp Böcəyi (Yaşıl Banana),Зелёный палочник,Green Bean Stick Insect (Diapherodes gigantea)
42,Çöp Böcəyi (Nəhəng Prickly),Гигантский колючий палочник,Giant Prickly Stick Insect (Extatosoma tiaratum)
43,Yarpaq Böcəyi (Phyllium),Листовидка,Leaf Insect (Phyllium)
44,Yarpaq Böcəyi (Nəhəng Malay),Малайская листовидка,Giant Malaysian Leaf Insect
45,Hamamböcəyi (Dubia),Аргентинский таракан,Dubia Roach (Blaptica dubia)
46,Hamamböcəyi (Hissing - Maddaqaskar),Мадагаскарский шипящий таракан,Madagascar Hissing Cockroach
47,Hamamböcəyi (Death's Head),Таракан мёртвая голова,Death's Head Cockroach
48,Hamamböcəyi (Orange Head),Оранжевоголовый таракан,Orange Head Roach (Eublaberus prosticus)
49,Hamamböcəyi (Domino),Таракан-домино,Domino Roach (Therea petiveriana)
50,Hamamböcəyi (Question Mark),Вопросительный таракан,Question Mark Roach (Therea olegrandjeani)
51,Hamamböcəyi (Green Banana),Зелёный банановый таракан,Green Banana Roach (Panchlora nivea)
52,Minayaq (Nəhəng Afrika),Гигантская африканская многоножка,Giant African Millipede (Archispirostreptus gigas)
53,Minayaq (Bumblebee),Многоножка шмель,Bumblebee Millipede
54,Minayaq (Flat - Yassı),Плоская многоножка,Flat Millipede (Polydesmida)
55,Minayaq (Scarlet),Красная многоножка,Scarlet Millipede
56,Yüzayaq (Nəhəng Scolopendra),Гигантская сколопендра,Giant Centipede (Scolopendra gigantea)
57,Yüzayaq (Vietnam),Вьетнамская сколопендра,Vietnamese Centipede (Scolopendra subspinipes)
58,Buynuzböcəyi (Atlas),Жук-атлас,Atlas Beetle
59,Buynuzböcəyi (Herkules),Жук-геркулес,Hercules Beetle (Dynastes hercules)
60,Buynuzböcəyi (Rhinoceros),Жук-носорог,Rhinoceros Beetle
61,Buynuzböcəyi (Elephant),Жук-слон,Elephant Beetle (Megasoma elephas)
62,Buynuzböcəyi (Stag - Maral Böcəyi),Жук-олень,Stag Beetle (Lucanus cervus)
63,Buynuzböcəyi (Miyama Stag),Жук-олень Мияма,Miyama Stag Beetle
64,Buynuzböcəyi (Goliath),Жук-голиаф,Goliath Beetle
65,Buynuzböcəyi (Flower Beetle),Бронзовка,Flower Beetle (Cetoniinae)
66,Buynuzböcəyi (Sun Beetle),Солнечный жук,Sun Beetle (Pachnoda marginata)
67,Buynuzböcəyi (Rainbow Stag),Радужный жук-олень,Rainbow Stag Beetle (Phalacrognathus muelleri)
68,Böyükgöz Kəpənək (Atlas Moth),Павлиноглазка атлас,Atlas Moth
69,Böyükgöz Kəpənək (Luna Moth),Лунная павлиноглазка,Luna Moth
70,İpəkqurdu (Bombyx mori),Тутовый шелкопряд,Silkworm (Bombyx mori)
71,Kəpənək (Monarch - Kral),Данаида монарх,Monarch Butterfly
72,Kəpənək (Painted Lady),Репейница,Painted Lady Butterfly
73,Kəpənək (Blue Morpho),Морфо,Blue Morpho Butterfly
74,Kəpənək (Swallowtail),Парусник,Swallowtail Butterfly
75,Kəpənək (Owl Butterfly),Бабочка-сова,Owl Butterfly (Caligo)
76,Ladybug (Uğurböcəyi),Божья коровка,Ladybug (Ladybird)
77,Arı (Bal Arısı),Медоносная пчела,Honey Bee (Apis mellifera)
78,Arı (Mason Bee),Пчела-каменщица,Mason Bee (Osmia)
79,Arı (Bumble Bee),Шмель,Bumblebee
80,Qarışqa (Leafcutter),Листорезы,Leafcutter Ant (Atta)
81,Qarışqa (Harvester),Муравей-жнец,Harvester Ant (Pogonomyrmex)
82,Qarışqa (Carpenter),Муравей-древоточец,Carpenter Ant (Camponotus)
83,Qarışqa (Fire Ant),Огненный муравей,Fire Ant (Solenopsis)
84,Qarışqa (Weaver),Муравей-ткач,Weaver Ant (Oecophylla)
85,Qarışqa (Bullet),Муравей-пуля,Bullet Ant (Paraponera)
86,Cırcırama (Field Cricket),Полевой сверчок,Field Cricket
87,Cırcırama (House Cricket),Домовый сверчок,House Cricket
88,Çəyirtkə (Nəhəng Weta),Гигантская вета,Giant Weta
89,Whip Spider (Amblypygi),Фрин,Whip Spider (Amblypygi)
90,Vinegaroon (Whip Scorpion),Телифон,Vinegaroon (Whip Scorpion)
91,Sun Spider (Camel Spider),Сольпуга,Sun Spider (Camel Spider/Solifuge)
92,Hermit Crab (Quru),Сухопутный рак-отшельник,Land Hermit Crab
93,Hermit Crab (Ekvador),Эквадорский рак-отшельник,Ecuadorian Hermit Crab
94,Isopod (Dairy Cow),Мокрица Dairy Cow,Dairy Cow Isopod (Porcellio laevis)
95,Isopod (Rubber Ducky),Мокрица Rubber Ducky,Rubber Ducky Isopod (Cubaris)
96,Isopod (Zebra),Мокрица зебра,Zebra Isopod (Armadillidium maculatum)
97,Isopod (Powder Blue),Мокрица голубая,Powder Blue Isopod (Porcellionides pruinosus)
98,Isopod (Giant Canyon),Мокрица гигантская,Giant Canyon Isopod (Porcellio dilatatus)
99,Isopod (Magic Potion),Мокрица Magic Potion,Magic Potion Isopod (Armadillidium vulgare)
100,Isopod (Spanish Orange),Мокрица испанская оранжевая,Spanish Orange Isopod (Porcellio scaber)
101,Jumping Spider (Regal),Королевский паук-скакун,Regal Jumping Spider (Phidippus regius)
102,Jumping Spider (Bold),Смелый паук-скакун,Bold Jumping Spider (Phidippus audax)
103,Jumping Spider (Peacock),Павлиний паук-скакун,Peacock Spider (Maratus)
104,Trapdoor Spider,Паук-землекоп,Trapdoor Spider
105,Qurd İpəkqurdu (Hornworm),Табачный бражник,Hornworm (Manduca sexta)
106,Böcək Fermasi (Mealworm Beetle),Мучной хрущак,Mealworm Beetle (Tenebrio molitor)
107,Böcək (Darkling Beetle),Чернотелка,Darkling Beetle
108,Böcək (Blue Death Feigning),Притворяшка,Blue Death Feigning Beetle
109,Böcək (Jewel Beetle),Златка,Jewel Beetle (Buprestidae)
110,Böcək (Dung Beetle),Навозный жук,Dung Beetle (Scarabaeus)
