No,AZ,RU,EN
34,Yaşıl Yanaqlı Konur,Зелёнощёкая аратинга,Green-cheeked Conure
35,Cəndəfi Konur,Яндайя,Jenday Conure
36,Nanday Konur,Нандайя,Nanday Conure (Black-hooded Parakeet)
37,Çeri Konur,Вишнёвоголовая аратинга,Cherry-headed Conure
38,Sarı Konur,Голубовенцовая аратинга,Peach-fronted Conure
39,Patagonia Konur,Патагонская аратинга,Patagonian Conure
40,Dusky Konur,Тёмная аратинга,Dusky-headed Conure
41,Kalıq Tutuquşusu (Monax),Монах (Квакер),Quaker Parrot (Monk Parakeet)
42,Senegal Tutuquşusu,Сенегальский попугай,Senegal Parrot
43,Meyer Tutuquşusu,Попугай Мейера,Meyer's Parrot
44,Cənnət Tutuquşusu (Yarımavalı),Попугай Жардена,Jardine's Parrot
45,Qırmızı Qarınlı Tutuquşu,Краснобрюхий попугай,Red-bellied Parrot
46,Eclektus Tutuquşusu,Благородный попугай (Эклектус),Eclectus Parrot
47,Kakapo (Bayquş Tutuquşusu),Какапо,Kakapo
48,Kea,Кеа,Kea
49,Lori (Qövsənrəng),Радужный лорикет,Rainbow Lorikeet
50,Qırmızı Lori,Красный лори,Red Lory
51,Mavi Lori,Голубой лори,Blue Lorikeet
52,İrland Sərçəsi (Kanarya),Канарейка,Canary
53,Qırmızı Faktor Kanarya,Красная канарейка,Red Factor Canary
54,Sarı Kanarya (Klassik),Жёлтая канарейка,Yellow Canary
55,Ağ Kanarya,Белая канарейка,White Canary
56,Roller Kanarya (Harz),Гарцский роллер,Harz Roller Canary
57,İspan Timbrado Kanarya,Испанский тимбрадо,Spanish Timbrado Canary
58,Vaterslager Kanarya,Малинуа (Ватерслагер),Waterslager Canary
59,York Kanarya,Йоркширская канарейка,Yorkshire Canary
60,Border Kanarya,Бордер канарейка,Border Canary
61,Qloster Kanarya,Глостерская канарейка,Gloster Canary
62,Norwich Kanarya,Норвичская канарейка,Norwich Canary
63,Fife Kanarya,Файф канарейка,Fife Canary
64,Lizard Kanarya,Ящеричная канарейка,Lizard Canary
65,Crested Kanarya,Хохлатая канарейка,Crested Canary
66,Zebra Amadini,Зебровая амадина,Zebra Finch
67,Gould Amadini,Гульдова амадина,Gouldian Finch
68,Yapon Amadini,Японская амадина,Society Finch (Bengalese Finch)
69,Üçrəngli Tutuquşu Amadini,Попугайная амадина,Parrot Finch
70,Xırda Hindistan Amadini,Бриллиантовая амадина,Diamond Firetail
71,Ağ Amadini,Белая амадина,White Java Sparrow
72,Çəltik Sərçəsi (Java),Рисовка (Яванский воробей),Java Sparrow
73,Münbet Şahin (Şirin Quş),Амарант,Red Avadavat
74,Qızıl Oranc Viver,Оранжевый ткачик,Orange Weaver
75,Sarı Toxucu Quş,Жёлтый ткачик,Yellow Weaver
76,Qırmızıdimdik Toxucu,Красноклювый ткачик,Red-billed Quelea
77,Pin-tailed Vidua,Доминиканская вдовушка,Pin-tailed Whydah
78,Qara Başlı Sərçə,Черноголовый воробей,Black-headed Munia
79,Kəkilli Bülbül,Красноухий бюльбюль,Red-whiskered Bulbul
80,Çin Bülbülü,Китайский бюльбюль,Chinese Bulbul
81,Hindistan Bülbülü,Красновентый бюльбюль,Red-vented Bulbul
82,Şama Bülbülü,Белопоясная шама,White-rumped Shama
83,İşıqlı Bülbül,Светлоспинный бюльбюль,Yellow-vented Bulbul
84,Mayna (Adi),Обыкновенная майна,Common Myna
85,Tepe Mayna,Священная майна,Hill Myna
86,Bali Maynası,Балийская майна,Bali Myna (Bali Starling)
87,Qara Drozd,Чёрный дрозд,Eurasian Blackbird
88,Oxuyan Drozd,Певчий дрозд,Song Thrush
89,Bülbül (Adi),Обыкновенный соловей,Common Nightingale
90,Saka Quşu (Çintə),Щегол,European Goldfinch
91,Yaşıl Sərçə (Zərəncə),Зеленушка,European Greenfinch
92,Qırmızısinə (Arıquş),Снегирь,Eurasian Bullfinch
93,Çalağan Quş (Kəklik Quşu),Чиж,Eurasian Siskin
94,Sərçə (Ev),Домовый воробей,House Sparrow
95,Göyərçin (Poçt),Почтовый голубь,Racing Pigeon (Homing Pigeon)
96,Göyərçin (Bakı Oyun),Бакинский бойный голубь,Baku Roller Pigeon
97,Göyərçin (İran Tumbler),Иранский голубь,Iranian Highflyer
98,Göyərçin (Türk Tumbler),Турецкая такла,Turkish Tumbler (Takla)
99,Göyərçin (Birmingem Roller),Бирмингемский роллер,Birmingham Roller
100,Göyərçin (Tippler),Типплер,Tippler Pigeon
101,Göyərçin (Fantail),Павлиний голубь,Fantail Pigeon
102,Göyərçin (Jacobin),Якобин (Париковый голубь),Jacobin Pigeon
103,Göyərçin (Pouter),Дутыш,Pouter Pigeon
104,Göyərçin (Modena),Модена,Modena Pigeon
105,Göyərçin (King),Кинг голубь,King Pigeon
106,Göyərçin (Trumpeter),Трубач-барабанщик,Trumpeter Pigeon
107,Göyərçin (Nun),Голубь-монашка,Nun Pigeon
108,Göyərçin (Frillback),Курчавый голубь,Frillback Pigeon
109,Göyərçin (Lahore),Лахорский голубь,Lahore Pigeon
110,Göyərçin (Şirazi),Ширази,Shirazi Pigeon
111,Göyərçin (Səmərqənd Tumbler),Самаркандский голубь,Samarkand Tumbler
112,Göyərçin (Qara Altı),Чёрноподхвостый голубь,Black Under Pigeon
113,Göyərçin (Qısa Dimdikli),Короткоклювый голубь,Short-faced Tumbler
114,Qumru (Adi),Кольчатая горлица,Eurasian Collared Dove
115,Almaz Qumru,Бриллиантовая горлица,Diamond Dove
116,Ağ Qumru,Белая горлица,White Dove (Ringneck Dove)
117,Zebra Qumru,Полосатая горлица,Zebra Dove
118,Tovuz Quşu (Hindistan),Индийский павлин,Indian Peafowl
119,Yaşıl Tovuz,Зелёный павлин,Green Peafowl
120,Ağ Tovuz,Белый павлин,White Peafowl
121,Qızıl Qırqovul,Золотой фазан,Golden Pheasant
122,Gümüşü Qırqovul,Серебряный фазан,Silver Pheasant
123,Lady Amherst Qırqovulu,Фазан леди Амхерст,Lady Amherst's Pheasant
124,Reves Qırqovulu,Фазан Ривза,Reeves's Pheasant
125,Adi Qırqovul,Обыкновенный фазан,Common Pheasant
126,Swinhoe Qırqovulu,Фазан Свайно,Swinhoe's Pheasant
127,Əlvan Qırqovul (Mikado),Фазан микадо,Mikado Pheasant
128,Cəng Xoruzu (Hind),Бойцовая курица,Indian Game (Aseel/Asil)
129,Kəklik (Çukar),Кеклик,Chukar Partridge
130,Qırmızı Kəklik,Красная куропатка,Red-legged Partridge
131,Bıldırcın (Çin Boyalı),Китайский перепел,Chinese Painted Quail (Button Quail)
132,Bıldırcın (Yapon),Японский перепел,Japanese Quail
133,Bıldırcın (Kaliforniya),Калифорнийский перепел,California Quail
134,Bıldırcın (Gambel),Перепел Гэмбела,Gambel's Quail
135,Bıldırcın (Bobwhite),Виргинская куропатка,Northern Bobwhite
136,Helmeted Cəng Quşu (Numida),Цесарка,Helmeted Guineafowl
137,Forbes Tutuquşu Amadini,Попугайная амадина (трёхцветная),Forbes' Parrotfinch
138,Star Amadini,Звёздчатая амадина,Star Finch
139,Owl Amadini,Совиный зяблик,Owl Finch (Bicheno's Finch)
140,Cordon Bleu,Голубой астрильд,Cordon Bleu (Blue Waxbill)
141,Qırmızı Yanaq Kordon Blu,Красноухий астрильд,Red-cheeked Cordon Bleu
142,Bənövşəyi Astild,Фиолетовый астрильд,Violet-eared Waxbill
143,Narıncı Yanaqlı Astild,Оранжевощёкий астрильд,Orange-cheeked Waxbill
144,Yaşıl Oxuyan Amadina,Зелёная певчая амадина,Green Singing Finch
145,Mozambik Sərçəsi,Мозамбикский чиж,Mozambique Serin
146,Xatt Yağmurcuğu,Маленький скворец,Grosbeak Starling
147,Tutuquşu (İngilis Budgie Böyük),Выставочный волнистый попугай,English Budgie (Show Budgie)
148,Tutuquşu (Lineolated),Линейчатый попугай,Lineolated Parakeet
149,Tutuquşu (Bourke),Розовобрюхий травяной попугай,Bourke's Parakeet
150,Tutuquşu (Turquoisine),Бирюзовый травяной попугай,Turquoisine Parakeet
151,Tutuquşu (Splendid),Блестящий травяной попугай,Scarlet-chested Parakeet (Splendid)
152,Tutuquşu (Elegant),Украшенный травяной попугай,Elegant Parakeet
153,Rozella (Şərqi),Восточная розелла,Eastern Rosella
154,Rozella (Qərbi),Западная розелла,Western Rosella
155,Rozella (Sarı),Бледноголовая розелла,Pale-headed Rosella
156,Rozella (Krimzon),Пенантовая розелла,Crimson Rosella
157,Rozella (Yaşıl),Зелёная розелла,Green Rosella
158,Kral Tutuquşusu (Avstraliya),Королевский попугай,Australian King Parrot
159,Regent Tutuquşusu,Скалистый попугай,Regent Parrot
160,Superb Tutuquşusu,Роскошный попугай,Superb Parrot
161,Red Rump Tutuquşusu,Красноспинный певчий попугай,Red-rumped Parrot
162,Kakariki (Yaşıl),Какарики зелёный,Kakariki (Red-crowned Parakeet)
163,Kakariki (Sarı),Какарики жёлтый,Yellow-crowned Kakariki
164,Plumhead Tutuquşusu,Сливоголовый попугай,Plum-headed Parakeet
165,Müstəqil Tutuquşu (Derbyan),Дербийский попугай,Derbyan Parakeet (Lord Derby's Parakeet)
166,Moustache Tutuquşusu,Усатый попугай,Moustached Parakeet
167,Hindistan Yaşıl Tutuquşusu,Индийский кольчатый попугай,Rose-ringed Parakeet
168,Çin Tutuquşusu (Plum-head),Китайский кольчатый попугай,Chinese Ringneck
169,Maxi Pionus,Максимилианов попугай,Scaly-headed Parrot (Maximilian Pionus)
170,Mavi Başlı Pionus,Синеголовый попугай,Blue-headed Pionus
171,Tunc Qanadlı Pionus,Бронзовокрылый попугай,Bronze-winged Pionus
172,Ağ Başlı Pionus,Белоголовый попугай,White-capped Pionus
173,Dusky Pionus,Тёмный попугай,Dusky Pionus
174,Caique (Qara Başlı),Черноголовый белобрюхий попугай,Black-headed Caique
175,Caique (Ağ Qarınlı),Белобрюхий попугай,White-bellied Caique
176,Parrotlet (Pasifik),Тихоокеанский попугайчик,Pacific Parrotlet
177,Parrotlet (Yaşıl Qanadlı),Мексиканский попугайчик,Green-rumped Parrotlet
178,Parrotlet (Spectacled),Очковый попугайчик,Spectacled Parrotlet
179,Brotogeris (Ağ Qanadlı),Белокрылый попугай,White-winged Parakeet (Brotogeris)
180,Brotogeris (Boz Yanaqlı),Серощёкий попугай,Grey-cheeked Parakeet
181,Patagonia Tutuquşusu,Патагонский попугай,Burrowing Parrot
182,Dereham Tutuquşusu,Попугай Дерби,Derbyan Parakeet
183,Vaza Tutuquşusu,Попугай ваза,Vasa Parrot
184,Keapo Tutuquşusu,Кеа,Kea Parrot
185,Tutuquşu (Hörüklü Conure),Патагонская аратинга,Austral Conure
186,Yaşıl Ara (Böyük),Большой зелёный ара,Great Green Macaw
187,Spix Ara,Ара Спикса,Spix's Macaw
188,Lear Ara,Ара Лира,Lear's Macaw
189,Çivit Ara,Индиговый ара,Indigo Macaw
190,Qırmızı Qarınlı Ara,Краснобрюхий ара,Red-bellied Macaw
191,Qızıl Boyunlu Ara,Золотошейный ара,Golden-collared Macaw
192,Tutuquşu (Festive Amazon),Праздничный амазон,Festive Amazon
193,Tutuquşu (Lilac-crowned Amazon),Лиловошапочный амазон,Lilac-crowned Amazon
194,Tutuquşu (Red-lored Amazon),Желтощёкий амазон,Red-lored Amazon
195,Tutuquşu (Mealy Amazon),Мучнистый амазон,Mealy Amazon
196,Tutuquşu (Tucuman Amazon),Тукуманский амазон,Tucuman Amazon
197,Qırmızı Quyruqlu Boz Tutuquşu,Бурохвостый жако,Red-tailed Grey Parrot
198,Kongo Boz Tutuquşusu,Конголезский жако,Congo African Grey
199,Kakadu (Citron),Цитроновый какаду,Citron-crested Cockatoo
200,Kakadu (Ducorps),Какаду Дюкорпа,Ducorps's Cockatoo
201,Kakadu (Qırmızı Qanadlı),Красноперый какаду,Red-vented Cockatoo
202,Kakadu (Major Mitchell),Какаду инка,Major Mitchell's Cockatoo
203,Kakadu (Qara Quyruqlu),Траурный какаду,Black Cockatoo (Yellow-tailed)
204,Gang-gang Kakadu,Шлемоносный какаду,Gang-gang Cockatoo
205,Oxuyan Quş (Şama Drozd),Шама-дрозд,White-rumped Shama
206,Qara Qu (Raven Ev Quşu),Ворон (домашний),Common Raven (pet)
207,Ağıllı Sağsağan,Сорока,Eurasian Magpie (pet)
208,Mavi Cey,Голубая сойка,Blue Jay (pet)
209,Tukan (Kiel Dimdikli),Тукан (радужный),Keel-billed Toucan
210,Tukan (Toco),Тукан токо,Toco Toucan
211,Tukan (Arassari),Арасари,Aracari
212,Ayrılmaz Tutuquşu (Həbəş),Эфиопский попугай,Ethiopian Lovebird
213,Qırmızı İbis,Красный ибис,Scarlet Ibis
214,Flamingo (Çəhrayı),Розовый фламинго,Greater Flamingo
215,Emu,Эму,Emu
216,Devəquşu (Afrika),Африканский страус,Ostrich
217,Nandu (Güney Amerika),Нанду,Rhea
218,Qırmızı Quyruqlu Şahin,Ястреб-тетеревятник,Harris's Hawk (falconry)
219,Şahin (Ov üçün),Сокол-сапсан,Peregrine Falcon (falconry)
220,Qızıl Qartal,Беркут,Golden Eagle (falconry)
221,Şüvül Bayquş,Ушастая сова,Long-eared Owl (pet)
222,Cənublu Bayquş (Barn),Сипуха,Barn Owl (pet)
223,Qar Bayquşu,Полярная сова,Snowy Owl (pet)
224,Turaco (Qırmızı),Красный турако,Red Turaco
225,Turaco (Yaşıl),Зелёный турако,Green Turaco
226,Turaco (Bənövşəyi),Фиолетовый турако,Violet Turaco
227,Qu Quşu (Ağ),Белый лебедь,Mute Swan
228,Qu Quşu (Qara),Чёрный лебедь,Black Swan
229,Mandarinka (Ördək),Мандаринка,Mandarin Duck
230,Tavus (Hindistan),Индийский павлин,Indian Peafowl
