No,AZ,RU,EN
158,Çeşski Teryer,Чешский терьер,Cesky Terrier
159,Glen of İmaal Teryer,Глен оф Имаал терьер,Glen of Imaal Terrier
160,İrland Teryer,Ирландский терьер,Irish Terrier
161,Soft Kouted Uiten Teryer,Ирландский мягкошёрстный пшеничный терьер,Soft Coated Wheaten Terrier
162,Vels Teryer,Вельштерьер,Welsh Terrier
163,Qiant Şnautser,Ризеншнауцер,Giant Schnauzer
164,Standart Şnautser,Миттельшнауцер,Standard Schnauzer
165,Affenpiçer,Аффенпинчер,Affenpinscher
166,Brüssel Qriffon,Брюссельский гриффон,Brussels Griffon
167,Miniatür Pinçer,Цвергпинчер,Miniature Pinscher
168,Avstriya Pinçer,Австрийский пинчер,Austrian Pinscher
169,Alman Pinçer,Немецкий пинчер,German Pinscher
170,Leonberger,Леонбергер,Leonberger
171,Böyük İsveçrə Dağ İti,Большой швейцарский зенненхунд,Greater Swiss Mountain Dog
172,Appentsel Dağ İti,Аппенцеллер зенненхунд,Appenzeller Sennenhund
173,Entlebuç Dağ İti,Энтлебухер зенненхунд,Entlebucher Mountain Dog
174,Qafqaz Çoban İti,Кавказская овчарка,Caucasian Shepherd Dog
175,Orta Asiya Çoban İti (Alabay),Среднеазиатская овчарка (Алабай),Central Asian Shepherd Dog (Alabai)
176,Cənubi Rusiya Çoban İti,Южнорусская овчарка,South Russian Ovcharka
177,Rusiya Qara Teryeri,Русский чёрный терьер,Black Russian Terrier
178,Moskva Gözətçisi,Московская сторожевая,Moscow Watchdog
179,Rusiya Toy Teryer,Русский той-терьер,Russian Toy Terrier
180,Layka (Batı Sibir),Западносибирская лайка,West Siberian Laika
181,Layka (Şərqi Sibir),Восточносибирская лайка,East Siberian Laika
182,Layka (Rus-Avropa),Русско-европейская лайка,Russo-European Laika
183,Yakut Laykası,Якутская лайка,Yakutian Laika
184,Kareliya Ayı İti,Карельская медвежья собака,Karelian Bear Dog
185,Kanqal,Кангал,Kangal Shepherd Dog
186,Akbaş,Акбаш,Akbash
187,Anatoliya Çoban İti,Анатолийская овчарка,Anatolian Shepherd Dog
188,Türk Çoban İti (Malaklı),Малакли,Malakli (Turkish Mastiff)
189,Çatalburun,Чаталбурун,Catalburun
190,Kars İti,Карсская собака,Kars Dog
191,Azərbaycan Qurdbasar,Азербайджанский волкодав,Azerbaijan Volkodav
192,Gürcü Dağ İti,Грузинская горная собака,Georgian Mountain Dog
193,Qampr (Erməni Qorucu İti),Гампр,Armenian Gampr
194,Sarplaninac,Шарпланинац,Sarplaninac
195,Tornyak,Торньяк,Tornjak
196,Karst Çoban İti,Краньска овчарка,Karst Shepherd
197,Sloveniya Çuvaç,Словацкий чувач,Slovak Cuvac
198,Polşa Tatra Çoban İti,Подгалянская овчарка,Polish Tatra Sheepdog
199,Kuvasz,Кувас,Kuvasz
200,Komondor,Комондор,Komondor
201,Puli,Пули,Puli
202,Pumi,Пуми,Pumi
203,Mudi,Муди,Mudi
204,Maremma Çoban İti,Маремма-абруццкая овчарка,Maremma Sheepdog
205,Berqamsko,Бергамская овчарка,Bergamasco Shepherd
206,Neapolitan Mastif,Неаполитанский мастиф,Neapolitan Mastiff
207,Presa Kanario,Канарский дог,Presa Canario
208,İspan Mastif,Испанский мастиф,Spanish Mastiff
209,Pyreney Dağ İti,Пиренейская горная собака,Great Pyrenees
210,Pyreney Çoban İti,Пиренейская овчарка,Pyrenean Shepherd
211,Bordeaux Doqu,Бордоский дог,Dogue de Bordeaux
212,Boseron,Босерон,Beauceron
213,Pikardy Çoban İti,Пикардийская овчарка,Berger Picard
214,Rafeiro do Alentejo,Рафейро ду Алентежу,Rafeiro do Alentejo
215,Estrela Dağ İti,Эштрельская овчарка,Estrela Mountain Dog
216,Portuqal Podenqo,Португальский поденгу,Portuguese Podengo
217,Portuqal Çoban İti,Португальская овчарка,Portuguese Sheepdog
218,Fila de Sao Miqel,Фила де Сан-Мигель,Fila de Sao Miguel
219,Danimarka-İsveç Ferma İti,Датско-шведская фермерская собака,Danish-Swedish Farmdog
220,İsland İti,Исландская собака,Icelandic Sheepdog
221,Norveç Buhund,Норвежский бухунд,Norwegian Buhund
222,Norveç Lundehund,Норвежский лундехунд,Norwegian Lundehund
223,İsveç Vallhund,Шведский вальхунд,Swedish Vallhund
224,İsveç Lapphund,Шведский лаппхунд,Swedish Lapphund
225,Fin Lapphund,Финский лаппхунд,Finnish Lapphund
226,Lapponian Herder,Лапинпорокойра,Lapponian Herder
227,Xorvatiya Çoban İti,Хорватская овчарка,Croatian Sheepdog
228,Mioritic Çoban İti,Миоритская овчарка,Mioritic Shepherd Dog
229,Rumıniya Karpatiya Çoban İti,Румынская карпатская овчарка,Romanian Carpathian Shepherd
230,Bolqar Çoban İti (Karakachan),Каракачанская собака,Karakachan Dog
231,Hellin Çoban İti,Греческая овчарка,Greek Shepherd Dog
232,Qrand Blö de Qaskon,Большой голубой гасконский гончий,Grand Bleu de Gascogne
233,Arieqe Poynter,Арьежский бракк,Ariege Pointer
234,Billy,Билли,Billy
235,Porselain,Порселен,Porcelaine
236,Petit Basset Griffon Vendeen,Малый вандейский бассет-гриффон,Petit Basset Griffon Vendeen
237,Qrand Basset Griffon Vendeen,Большой вандейский бассет-гриффон,Grand Basset Griffon Vendeen
238,Mavi Qaskon Basset,Голубой гасконский бассет,Basset Bleu de Gascogne
239,Qrifon Nivernais,Гриффон нивернский,Griffon Nivernais
240,Su Samuru Ov İti,Оттерхаунд,Otterhound
241,Şotland Maral Ov İti,Дирхаунд,Scottish Deerhound
242,Azavak,Азавак,Azawakh
243,Sloughi,Слюги,Sloughi
244,Macar Yüyrək İti,Венгерская борзая,Magyar Agar
245,Polşa Yüyrək İti,Польский харт,Polish Greyhound
246,Plott Ov İti,Плотт-хаунд,Plott Hound
247,Treeing Walker Ov İti,Трёхцветная гончая,Treeing Walker Coonhound
248,Qara-Sarı Yenot Ov İti,Чёрно-подпалый кунхаунд,Black and Tan Coonhound
249,Redbon Yenot Ov İti,Редбон-кунхаунд,Redbone Coonhound
250,Bluetik Yenot Ov İti,Блютик-кунхаунд,Bluetick Coonhound
251,Amerika Tülkü Ov İti,Американский фоксхаунд,American Foxhound
252,İngilis Tülkü Ov İti,Английский фоксхаунд,English Foxhound
253,Harrier,Харьер,Harrier
254,Norveç Ov İti (Dunker),Норвежский дункер,Dunker (Norwegian Hound)
255,Haldenstover,Хальденстёвер,Haldenstover
256,Hamilton Ov İti,Гамильтонстёваре,Hamiltonstovare
257,Schiller Ov İti,Шиллерстёваре,Schillerstovare
258,Drever,Древер,Drever
259,Fin Ov İti,Финская гончая,Finnish Hound
260,Estoniya Ov İti,Эстонская гончая,Estonian Hound
261,Rusiya Ov İti,Русская гончая,Russian Hound
262,Rusiya Ala Ov İti,Русская пегая гончая,Russian Piebald Hound
263,Polşa Ov İti,Польская гончая,Polish Hound
264,Bayeriya Dağ Ov İti,Баварская горная гончая,Bavarian Mountain Hound
265,Hannover İzçi İti,Ганноверская гончая,Hanoverian Scenthound
266,Dachsbrakke,Альпийский таксообразный бракк,Alpine Dachsbracke
267,Tirol Ov İti,Тирольская гончая,Tyrolean Hound
268,Avstriya Qara-Sarı Ov İti,Австрийская гончая,Austrian Black and Tan Hound
269,İsveçrə Ov İti,Швейцарская гончая,Swiss Hound
270,Bern Ov İti,Бернская гончая,Bernese Hound
271,Yura Ov İti,Юрская гончая,Jura Hound
272,Lyusern Ov İti,Люцернская гончая,Lucerne Hound
273,İtalyan Ov İti (Segugio),Итальянская гончая,Segugio Italiano
274,Balear İti (Ca de Bou),Ка де бо,Ca de Bou (Majorca Mastiff)
275,Alano Espanol,Алано Эспаньол,Alano Español
276,Qalgo Espanol,Испанский гальго,Galgo Español
277,Podenco Kanaryo,Канарский поденко,Podenco Canario
278,Ratonero Valensiano,Ратонеро валенсиано,Ratonero Valenciano
279,Baskı Çoban İti,Баскская овчарка,Basque Shepherd Dog
280,Katalan Çoban İti,Каталонская овчарка,Catalan Sheepdog
281,Portuqal Poynter,Португальский бракк,Portuguese Pointer
282,Perdigero de Burqos,Бургосская легавая,Perdiguero de Burgos
283,Drentse Patrijshond,Дрентская куропаточная собака,Drentsche Patrijshond
284,Ağ İsveçrə Çoban İti,Белая швейцарская овчарка,White Swiss Shepherd Dog
285,Hovawart,Ховаварт,Hovawart
286,Landsir,Ландсир,Landseer
287,Bolonez,Болоньез,Bolognese
288,Löwçen,Левхен,Lowchen
289,Koton de Tulear,Котон де тулеар,Coton de Tulear
290,Xolandse Smoushond,Голландский смаусхонд,Dutch Smoushond
291,Krom Forlender,Кромфорлендер,Kromfohrlander
292,Eurasier,Евразиер,Eurasier
293,Şiperke,Шипперке,Schipperke
294,Meksika Tüksüz İti,Мексиканская голая собака,Xoloitzcuintli
295,Peru Tüksüz İti,Перуанская голая собака,Peruvian Hairless Dog
296,Uruqvay Cimarron,Уругвайский симаррон,Cimarron Uruguayo
297,Çin Çunqinq,Чунцин,Chinese Chongqing Dog
298,Tayvan İti,Тайваньская собака,Taiwan Dog (Formosan Mountain Dog)
299,Tayland Banqkaew,Бангкэу,Thai Bangkaew Dog
300,Kunminq Çoban İti,Куньминская овчарка,Kunming Wolfdog
301,Hind Parya İti,Индийская собака-пария,Indian Pariah Dog
302,Mudhol Ov İti,Мудхольская борзая,Mudhol Hound (Caravan Hound)
303,Rajapalayam,Раджапалайям,Rajapalayam
304,Kombai,Комбаи,Kombai
305,Kanni,Канни,Kanni
306,Çippiparay,Чиппипарай,Chippiparai
307,Bakharwal İti,Бахарвал,Bakharwal Dog
308,Himmalaiy Çoban İti,Гималайская овчарка,Himalayan Sheepdog
309,Afrika İti (Afrikanis),Африканис,Africanis
310,Boerboel,Бурбуль,Boerboel
311,Aidi (Atlas İti),Аиди,Aidi (Atlas Mountain Dog)
312,Norbiçen,Нордический шпиц,Norrbottenspets
313,Saar İti,Саарлосская волчья собака,Saarloos Wolfdog
314,Çexoslovakiya Volfdog,Чехословацкая волчья собака,Czechoslovakian Wolfdog
315,Tamaskan,Тамаскан,Tamaskan Dog
316,Utonaqan,Утонаган,Utonagan
317,Alaskan Klee Kai,Аляскинский кли-кай,Alaskan Klee Kai
318,Rat Teryer,Рэт-терьер,Rat Terrier
319,Toy Foks Teryer,Той-фокстерьер,Toy Fox Terrier
320,Teddy Roosevelt Teryer,Тедди-рузвельт-терьер,Teddy Roosevelt Terrier
321,Amerika Tüksüz Teryer,Американский голый терьер,American Hairless Terrier
322,Blue Lacy,Блю-лейси,Blue Lacy
323,Catahoula Leopard,Катахула,Catahoula Leopard Dog
324,Amerikan Bully,Американский булли,American Bully
325,Olde İnqliş Bulldoqqe,Олде инглиш бульдогг,Olde English Bulldogge
326,Alapaha Blu Blad Buldog,Алапахский бульдог,Alapaha Blue Blood Bulldog
327,Avstraliya Buldog,Австралийский бульдог,Australian Bulldog
328,Avstraliya Labradudl,Австралийский лабрадудль,Australian Labradoodle
329,Qoldendudl,Голдендудль,Goldendoodle
330,Labradudl,Лабрадудль,Labradoodle
331,Maltipoo,Мальтипу,Maltipoo
332,Kokkapoo,Кокапу,Cockapoo
333,Çorki,Чорки,Chorkie
334,Pomski,Помски,Pomsky
335,Şnudl,Шнудль,Schnoodle
336,Bernedudl,Бернедудль,Bernedoodle
337,Cavapoo,Кавапу,Cavapoo
338,Türkmən Alabay,Туркменский алабай,Turkmen Alabai
339,Taigan,Тайган,Taigan (Kyrgyz Sighthound)
340,Tazy,Тазы,Tazy (Central Asian Greyhound)
341,Xortaya,Хортая борзая,Khortaya Borzaya
342,Qrenland İti,Гренландская собака,Greenland Dog
343,Kanada Eskimo İti,Канадская эскимосская собака,Canadian Eskimo Dog
344,Çinuk,Чинук,Chinook
345,Amerikan Akita,Американская акита,American Akita
346,Karafuto Ken,Сахалинский хаски,Sakhalin Husky
347,Krit Ov İti,Критская гончая,Cretan Hound
348,Transilvanya Ov İti,Трансильванская гончая,Transylvanian Hound
349,Serbiya Ov İti,Сербская гончая,Serbian Hound
350,Serbiya Üç Rəngli Ov İti,Сербская трёхцветная гончая,Serbian Tricolour Hound
351,Bosniya Sərt Tüklü Ov İti,Боснийская грубошёрстная гончая,Bosnian Coarse-Haired Hound
352,Çernoqoriya Dağ Ov İti,Черногорская горная гончая,Montenegrin Mountain Hound
353,İstriya Ov İti,Истрийская гончая,Istrian Hound
354,Posavski Ov İti,Посавская гончая,Posavac Hound
355,Sloveniya Ov İti,Словенская гончая,Slovensky Kopov
356,Polşa Ov İti (Qonçi),Польская гончая,Gonczy Polski
357,Bukovina Çoban İti,Буковинская овчарка,Bucovinean Shepherd Dog
358,Biewer Teryer,Бивер-терьер,Biewer Terrier
359,Russkaya Tsvetnaya Bolonka,Русская цветная болонка,Russian Tsvetnaya Bolonka
360,Havapu,Хавапу,Havapoo
361,Yorkipoo,Йоркипу,Yorkie-Poo
362,İtalyan Volpino,Итальянский вольпино,Italian Volpino
363,Peruan İnka Orkid,Перуанская орхидея инков,Peruvian Inca Orchid
364,Kyi-Leo,Кай-лео,Kyi-Leo
365,Mi-Ki,Ми-ки,Mi-Ki
