No,AZ,RU,EN
100,Ring-necked İlan,Ошейниковая змея,Ring-necked Snake
101,Kral Kobra Lənət İlanı (False Cobra - Hognose),Мадагаскарская большеголовая змея,Madagascar Giant Hognose
102,Woma İlan (Stimson),Питон Стимсона,Stimson's Python
103,Qırmızı Quyruqlu Racer,Краснохвостый полоз,Red-tailed Racer
104,Mangrove İlan,Мангровая змея,Mangrove Snake (Boiga dendrophila)
105,Cat Snake (Boiga),Кошачья змея,Cat-eyed Snake
106,Qırmızı Quyruqlu Yapon İlanı,Японский полоз,Japanese Rat Snake
107,Qırmızı Göz Kərtənkələ İlanı (Lialis),Чешуеног,Burton's Legless Lizard
108,Tısbağa (Qırmızı Qaraqlı - Red-eared Slider),Красноухая черепаха,Red-eared Slider
109,Tısbağa (Boyalı - Painted),Расписная черепаха,Painted Turtle
110,Tısbağa (Musk - Misk),Мускусная черепаха,Musk Turtle (Stinkpot)
111,Tısbağa (Xəritə - Map),Географическая черепаха,Map Turtle
112,Tısbağa (Mud - Palçıq),Иловая черепаха,Mud Turtle
113,Tısbağa (Snapping - Timsah),Каймановая черепаха,Common Snapping Turtle
114,Tısbağa (Alligator Snapping),Грифовая черепаха,Alligator Snapping Turtle
115,Tısbağa (Softshell - Yumşaq),Мягкотелая черепаха,Softshell Turtle
116,Tısbağa (Matamata),Матамата,Matamata Turtle
117,Tısbağa (Pig-nosed),Свиноносая черепаха,Pig-nosed Turtle (Fly River)
118,Tısbağa (African Sideneck),Африканская бокошейная черепаха,African Sideneck Turtle
119,Tısbağa (Reeves),Черепаха Ривза,Reeves' Turtle (Chinese Pond)
120,Tısbağa (Diamondback Terrapin),Бриллиантовая черепаха,Diamondback Terrapin
121,Tısbağa (Wood),Лесная черепаха,Wood Turtle
122,Quru Tısbağa (Sulcata),Шпороносная черепаха,Sulcata Tortoise (African Spurred)
123,Quru Tısbağa (Hermann),Черепаха Германна,Hermann's Tortoise
124,Quru Tısbağa (Rus/Horsfield),Среднеазиатская черепаха,Russian Tortoise (Horsfield's)
125,Quru Tısbağa (Yunan/Greek),Средиземноморская черепаха,Greek Tortoise
126,Quru Tısbağa (Leopard),Леопардовая черепаха,Leopard Tortoise
127,Quru Tısbağa (Red-foot),Красноногая черепаха,Red-footed Tortoise
128,Quru Tısbağa (Yellow-foot),Жёлтоногая черепаха,Yellow-footed Tortoise
129,Quru Tısbağa (Aldabra Nəhəng),Гигантская альдабрская черепаха,Aldabra Giant Tortoise
130,Quru Tısbağa (Galapagos Nəhəng),Галапагосская черепаха,Galapagos Giant Tortoise
131,Quru Tısbağa (Indian Star),Индийская звёздчатая черепаха,Indian Star Tortoise
132,Quru Tısbağa (Radiated),Лучистая черепаха,Radiated Tortoise
133,Quru Tısbağa (Pancake),Плоская черепаха,Pancake Tortoise
134,Quru Tısbağa (Marginated),Окаймлённая черепаха,Marginated Tortoise
135,Quru Tısbağa (Egyptian),Египетская черепаха,Egyptian Tortoise
136,Quru Tısbağa (Burmese Star),Бирманская звёздчатая черепаха,Burmese Star Tortoise
137,Timsah (Caiman - Cırtdan),Карликовый кайман,Dwarf Caiman (Cuvier's)
138,Timsah (Spectacled Caiman),Крокодиловый кайман,Spectacled Caiman
139,Timsah (American Alligator),Миссисипский аллигатор,American Alligator
140,Timsah (Nile Crocodile),Нильский крокодил,Nile Crocodile
141,Timsah (Saltwater),Гребнистый крокодил,Saltwater Crocodile
142,Timsah (Gharial),Гавиал,Gharial
143,Timsah (Chinese Alligator),Китайский аллигатор,Chinese Alligator
144,Axolotl,Аксолотль,Axolotl
145,Yanğın Salamandrı,Огненная саламандра,Fire Salamander
146,Tiger Salamandrı,Тигровая саламандра,Tiger Salamander
147,Spotted Salamandr,Пятнистая саламандра,Spotted Salamander
148,Marbled Salamandr,Мраморная саламандра,Marbled Salamander
149,Əsil Triton (Eastern Newt),Восточный тритон,Eastern Newt
150,İspaniya Qarnıyırtıq Triton,Иберийский тритон,Spanish Ribbed Newt
151,Yapon Yanğın Qarnılı Triton,Японский огнебрюхий тритон,Japanese Fire-bellied Newt
152,Çin Yanğın Qarnılı Triton,Китайский огнебрюхий тритон,Chinese Fire-bellied Newt
153,Paddle-tail Triton,Лопастехвостый тритон,Paddletail Newt
154,Emperor Triton,Императорский тритон,Emperor Newt (Mandarin Newt)
155,Pac-Man Qurbağa (Horned Frog),Рогатка,Pac-Man Frog (Horned Frog)
156,Ağac Qurbağası (White's Tree Frog),Белая квакша,White's Tree Frog (Dumpy)
157,Qırmızı Gözlü Ağac Qurbağası,Красноглазая квакша,Red-eyed Tree Frog
158,Zəhərli Ox Qurbağası (Dart Frog - Mavi),Голубой древолаз,Blue Poison Dart Frog
159,Zəhərli Ox Qurbağası (Dart Frog - Sarı),Жёлтый древолаз,Yellow-banded Poison Dart Frog
160,Zəhərli Ox Qurbağası (Dart Frog - Çiyələk),Клубничный древолаз,Strawberry Poison Dart Frog
161,Tomat Qurbağası,Томатный узкорот,Tomato Frog
162,Budgett Qurbağası,Лягушка Баджетта,Budgett's Frog
163,Surinam Qurbağası (Pipa),Суринамская пипа,Surinam Toad (Pipa pipa)
164,Bullfrog (Amerika),Лягушка-бык,American Bullfrog
165,Afrika Bullfrog (Pyxie),Африканская роющая лягушка,African Bullfrog (Pixie Frog)
166,Afrika Caynaq Qurbağası (Xenopus),Шпорцевая лягушка,African Clawed Frog (Xenopus)
167,Yanğın Qarnılı Qurbağa,Жерлянка,Fire-bellied Toad
168,Yağış Qurbağası (Rain Frog),Пустынный узкорот,Desert Rain Frog
169,Waxy Monkey Frog,Восковая обезьянья квакша,Waxy Monkey Frog
170,Glass Frog,Стеклянная лягушка,Glass Frog
171,Milk Frog (Amazon),Миссия золотоглазая квакша,Amazon Milk Frog
172,Pixie Frog,Пикси лягушка,Pixie Frog (Pyxicephalus)
173,Grey Tree Frog,Серая квакша,Grey Tree Frog
174,Cuban Tree Frog,Кубинская квакша,Cuban Tree Frog
175,Caecilian (Ayaqsız Sürünən),Червяга,Caecilian
