No,AZ,RU,EN
138,Piter Bald (Brüş tipi),Петерболд (браш),Peterbald (Brush coat)
139,Kaşmir (Yarım Uzun Tüklü Fars),Кашемировая,Cashmere Persian
140,Kolorporynt Uzun Tüklü,Колорпойнт длинношёрстная,Colorpoint Longhair
141,Sno-Şu,Сноу-шу,Snowshoe
142,Mist (İngilis),Британская дымчатая,British Smoke
143,Teksas Bob,Техасский боб,Texas Bob
144,Amerikan Rinqteyl,Американский рингтейл,American Ringtail
145,Florlda Pişiyi,Флоридская кошка,Florida Cat (not recognized)
146,Pidelion,Пуделькэт,Pudelkatze (Poodle Cat)
147,Foldeks,Фолдекс,Foldex
148,Minskin,Минскин,Minskin
149,Kohana (Havay Tüksüz),Кохана,Kohana (Hawaiian Hairless)
150,Meksiка Tüksüz Pişik,Мексиканская бесшёрстная,Mexican Hairless Cat
151,Sam Savat,Сиамская голубая,Sam Sawet
152,Koncia (Konca),Конья,Konja
153,Karat (Taylandlı Mavi),Корат,Korat
154,Manks Rumpie,Мэнкс рампи,Manx (Rumpy)
155,Manks Stumpi,Мэнкс стампи,Manx (Stumpy)
156,Pixie-Bob Uzun Tüklü,Пикси-боб длинношёрстный,Pixie-Bob Longhair
157,Çauzi F1,Чаузи Ф1,Chausie F1
158,Savanna F1,Саванна Ф1,Savannah F1
159,Toyger Tabby,Тойгер табби,Toyger Tabby
160,Highlander,Хайлендер,Highlander
161,Alpaqa,Альпака,Alpaca Cat (LaPerm variant)
162,Tençer (Azərbaycan Pişiyi),Тенчер,Azerbaijani Cat
