No,AZ,RU,EN
45,Dovşan (Blanc de Hotot Dev),Большой хотот,Giant Blanc de Hotot
46,Dovşan (Teddywidder),Тедди кролик,Teddywidder Rabbit
47,Dovşan (Cashmere Lop),Кашемировый вислоухий,Cashmere Lop Rabbit
48,Dovşan (Velveteen Lop),Вельветовый вислоухий,Velveteen Lop Rabbit
49,Dovşan (Columbia Basin Pygmy),Карликовый кролик,Columbia Basin Pygmy Rabbit
50,Dovşan (Blanc de Bouscat),Бускатский белый кролик,Blanc de Bouscat Rabbit
51,Fretka (Albinos),Хорёк (альбинос),Ferret (Albino)
52,Fretka (Sable),Хорёк (соболиный),Ferret (Sable)
53,Fretka (Qara),Хорёк (чёрный),Ferret (Black)
54,Fretka (Şokolad),Хорёк (шоколадный),Ferret (Chocolate)
55,Fretka (Champagne),Хорёк (шампань),Ferret (Champagne)
56,Fretka (Dalmaçiya),Хорёк (далматинец),Ferret (Dalmatian)
57,Fretka (Panda),Хорёк (панда),Ferret (Panda)
58,Fretka (Blaze),Хорёк (блейз),Ferret (Blaze)
59,Fretka (Silver),Хорёк (серебристый),Ferret (Silver)
60,Fretka (Cinnamon),Хорёк (коричный),Ferret (Cinnamon)
61,Fretka (Angora),Хорёк (ангора),Ferret (Angora)
62,Mini Donuz (Juliana),Мини-пиг Юлиана,Juliana Mini Pig
63,Mini Donuz (Göbəkli - Potbelly),Вьетнамская вислобрюхая свинья,Potbellied Pig
64,Mini Donuz (Kune Kune),Кунекуне,KuneKune Pig
65,Mini Donuz (American Mini),Американский мини-пиг,American Mini Pig
66,Mini Donuz (Göttingen),Геттингенский минипиг,Göttingen Minipig
67,Axolotl (Vəhşi - Tünd),Аксолотль (дикий),Axolotl (Wild Type)
68,Axolotl (Albinos),Аксолотль (альбинос),Axolotl (Albino)
69,Axolotl (Leucistic - Ağ),Аксолотль (лейцистик),Axolotl (Leucistic)
70,Axolotl (Golden),Аксолотль (золотой),Axolotl (Golden)
71,Axolotl (Melanoid - Qara),Аксолотль (меланоид),Axolotl (Melanoid)
72,Axolotl (GFP - İşıqlanan),Аксолотль (GFP),Axolotl (GFP - Green Fluorescent)
73,Axolotl (Copper),Аксолотль (медный),Axolotl (Copper)
74,Axolotl (Piebald),Аксолотль (пегий),Axolotl (Piebald)
75,Qurudakı Xərçəng (Hermit Crab),Сухопутный рак-отшельник,Land Hermit Crab
76,Nəhəng Afrika İlbizi (Achatina),Гигантская африканская улитка (ахатина),Giant African Land Snail (Achatina)
77,İlbiz (Archachatina),Архахатина,Archachatina Snail
78,İlbiz (Limicolaria),Лимиколария,Limicolaria Snail
79,Dəniz Meymunu (Artemia),Артемия (морские обезьянки),Sea-Monkeys (Artemia/Brine Shrimp)
80,Triops (Üçgözlü Xərçəng),Триопс,Triops
